Contract;Rate;Date;kWh ;Consumption code;Average temperature (°C);Temperature code
0310725011;D;2017-12-16;141.60;R;-11;R
0310725011;D;2017-12-15;153.74;R;-14;R
0310725011;D;2017-12-14;147.00;R;-16;R
0310725011;D;2017-12-13;105.13;R;-11;R
0310725011;D;2017-12-12;83.74;R;-8;R
0310725011;D;2017-12-11;62.00;R;-10;R
0310725011;D;2017-12-10;69.77;R;-4;R
0310725011;D;2017-12-09;56.92;R;-1;R
0310725011;D;2017-12-08;64.76;R;-1;R
0310725011;D;2017-12-07;53.08;R;0;R
0310725011;D;2017-12-06;55.77;R;2;R
0310725011;D;2017-12-05;56.82;R;7;R
0310725011;D;2017-12-04;58.56;R;2;R
0310725011;D;2017-12-03;73.16;R;0;R
0310725011;D;2017-12-02;64.39;R;1;R
0310725011;D;2017-12-01;50.88;R;3;R
0310725011;D;2017-11-30;59.97;R;0;R
0310725011;D;2017-11-29;59.86;R;2;R
0310725011;D;2017-11-28;65.28;R;-2;R
0310725011;D;2017-11-27;47.44;R;-5;R
0310725011;D;2017-11-26;60.05;R;-2;R
0310725011;D;2017-11-25;60.38;R;5;R
0310725011;D;2017-11-24;59.50;R;4;R
0310725011;D;2017-11-23;46.54;R;-3;R
0310725011;D;2017-11-22;65.90;R;1;R
0310725011;D;2017-11-21;46.15;R;3;R
0310725011;D;2017-11-20;67.62;R;-6;R
0310725011;D;2017-11-19;52.61;R;-1;R
0310725011;D;2017-11-18;49.62;R;-2;R
0310725011;D;2017-11-17;51.34;R;-2;R
0310725011;D;2017-11-16;50.47;R;6;R
0310725011;D;2017-11-15;54.32;R;2;R
0310725011;D;2017-11-14;64.76;R;1;R
0310725011;D;2017-11-13;46.45;R;-1;R
0310725011;D;2017-11-12;59.47;R;-1;R
0310725011;D;2017-11-11;34.19;R;-5;R
0310725011;D;2017-11-10;33.60;R;-6;R
0310725011;D;2017-11-09;24.91;R;5;R
0310725011;D;2017-11-08;32.20;R;4;R
0310725011;D;2017-11-07;25.32;R;2;R
0310725011;D;2017-11-06;22.88;R;9;R
0310725011;D;2017-11-05;30.44;R;8;R
0310725011;D;2017-11-04;24.75;R;3;R
0310725011;D;2017-11-03;23.52;R;11;R
0310725011;D;2017-11-02;29.33;R;11;R
0310725011;D;2017-11-01;26.38;R;6;R
0310725011;D;2017-10-31;20.54;R;8;R
0310725011;D;2017-10-30;30.77;R;11;R
0310725011;D;2017-10-29;20.77;R;11;R
0310725011;D;2017-10-28;20.79;R;12;R
0310725011;D;2017-10-27;23.24;R;8;R
0310725011;D;2017-10-26;23.34;R;10;R
0310725011;D;2017-10-25;17.76;R;14;R
